# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 124.492 h/Mpc,
# number of wavenumbers equal to 713
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       8.435704901149e-03      -1.493422316396e+00      -5.559465764182e+02      -5.563055665780e+02      -1.490051362501e+00      -5.560788784129e+02       3.725128406251e-01       3.725128406251e-01 
       8.558768305756e-03      -1.487968787528e+00      -5.701506714580e+02      -5.705271920442e+02      -1.484610144197e+00      -5.702933457201e+02       3.711525360494e-01       3.711525360494e-01 
       8.681890720227e-03      -1.482529495923e+00      -5.844830406610e+02      -5.848777514283e+02      -1.479183131217e+00      -5.846366011411e+02       3.697957828043e-01       3.697957828043e-01 
       8.805070374121e-03      -1.477104983957e+00      -5.989417527069e+02      -5.993553213359e+02      -1.473770864782e+00      -5.991067205859e+02       3.684427161954e-01       3.684427161954e-01 
       8.928305606838e-03      -1.471693384854e+00      -6.135247163970e+02      -6.139578255298e+02      -1.468371480144e+00      -6.137016260303e+02       3.670928700359e-01       3.670928700359e-01 
       9.051594860891e-03      -1.466296406023e+00      -6.282297743168e+02      -6.286831185471e+02      -1.462986683710e+00      -6.284191707328e+02       3.657466709275e-01       3.657466709275e-01 
       9.174936675710e-03      -1.460914595620e+00      -6.430551528441e+02      -6.435294257561e+02      -1.457617021645e+00      -6.432575807646e+02       3.644042554114e-01       3.644042554114e-01 
       9.298329681906e-03      -1.455547965800e+00      -6.579987496928e+02      -6.584946553582e+02      -1.452262506199e+00      -6.582147632686e+02       3.630656265499e-01       3.630656265499e-01 
       9.421772595969e-03      -1.450195446756e+00      -6.730585523195e+02      -6.735768088831e+02      -1.446922069266e+00      -6.732887181075e+02       3.617305173165e-01       3.617305173165e-01 
       9.545264215367e-03      -1.444857910620e+00      -6.882327025049e+02      -6.887740302282e+02      -1.441596581369e+00      -6.884775894014e+02       3.603991453423e-01       3.603991453423e-01 
       9.668803414005e-03      -1.439536012734e+00      -7.035190812100e+02      -7.040842211678e+02      -1.436286697011e+00      -7.037792761994e+02       3.590716742527e-01       3.590716742527e-01 
       9.792389138016e-03      -1.434227660829e+00      -7.189157674617e+02      -7.195054671937e+02      -1.430990327228e+00      -7.191918635301e+02       3.577475818071e-01       3.577475818071e-01 
       9.916020401862e-03      -1.428934817855e+00      -7.344208317456e+02      -7.350358603701e+02      -1.425709431745e+00      -7.347134405517e+02       3.564273579363e-01       3.564273579363e-01 
       1.003969628471e-02      -1.423657256700e+00      -7.500323251896e+02      -7.506734656211e+02      -1.420443783949e+00      -7.503420705469e+02       3.551109459873e-01       3.551109459873e-01 
       1.016341592710e-02      -1.418394191319e+00      -7.657482441761e+02      -7.664163037763e+02      -1.415192598988e+00      -7.660757709967e+02       3.537981497470e-01       3.537981497470e-01 
       1.028717852779e-02      -1.413146171428e+00      -7.815667598451e+02      -7.822625617627e+02      -1.409956425660e+00      -7.819127268284e+02       3.524891064151e-01       3.524891064151e-01 
       1.041098334087e-02      -1.407913111500e+00      -7.974859627425e+02      -7.982103527752e+02      -1.404735178557e+00      -7.978510481508e+02       3.511837946391e-01       3.511837946391e-01 
       1.053482967311e-02      -1.402695315997e+00      -8.135041470600e+02      -8.142579843332e+02      -1.399529161561e+00      -8.138890408441e+02       3.498822903902e-01       3.498822903902e-01 
       1.065871688139e-02      -1.397492355387e+00      -8.296193117959e+02      -8.304034775560e+02      -1.394337945881e+00      -8.300247230548e+02       3.485844864702e-01       3.485844864702e-01 
       1.078264437043e-02      -1.392304994719e+00      -8.458296540999e+02      -8.466450422186e+02      -1.389162295449e+00      -8.462563030623e+02       3.472905738622e-01       3.472905738622e-01 
       1.090661159061e-02      -1.387131662439e+00      -8.621333972297e+02      -8.629809156998e+02      -1.384000640929e+00      -8.625820164990e+02       3.460001602322e-01       3.460001602322e-01 
       1.103061803593e-02      -1.381973497517e+00      -8.785286396169e+02      -8.794092102700e+02      -1.378854119766e+00      -8.789999739734e+02       3.447135299416e-01       3.447135299416e-01 
       1.115466324216e-02      -1.376830498954e+00      -8.950135493660e+02      -8.959281079909e+02      -1.373722730877e+00      -8.955083558445e+02       3.434306827192e-01       3.434306827192e-01 
