# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       2.932284032756e-03      -2.071237659862e+00      -7.956444034623e+01      -7.958142079795e+01      -2.057494747631e+00      -6.689818680542e+01      -6.689818680542e+01      -6.689818680542e+01      -7.944717423452e+01       4.370639192190e-01       4.370632294184e-01 
       3.043945563558e-03      -2.060643475836e+00      -8.535418837510e+01      -8.537288090961e+01      -2.043188294417e+00      -7.119279719529e+01      -7.119279719529e+01      -7.119279719529e+01      -8.522343432694e+01       4.356744335938e-01       4.356737360689e-01 
       3.156436146477e-03      -2.017183431816e+00      -9.137488378475e+01      -9.139541177622e+01      -1.988696869712e+00      -7.560447650288e+01      -7.560447650288e+01      -7.560447650288e+01      -9.122964038729e+01       4.342692550083e-01       4.342686237851e-01 
       3.269686922559e-03      -1.971065771818e+00      -9.762460857834e+01      -9.764709386277e+01      -1.907878022773e+00      -8.012680993004e+01      -8.012680993004e+01      -8.012680993004e+01      -9.746383713662e+01       4.328500726020e-01       4.328496045811e-01 
       3.383635557749e-03      -1.953593296725e+00      -1.041013546634e+02      -1.041259162826e+02      -1.848461056189e+00      -8.475483208697e+01      -8.475483208697e+01      -8.475483208697e+01      -1.039239926640e+02       4.314186594518e-01       4.314182776383e-01 
       3.498225628635e-03      -1.961737337641e+00      -1.108029800767e+02      -1.108297396438e+02      -1.833271313878e+00      -8.948401546349e+01      -8.948401546349e+01      -8.948401546349e+01      -1.106079448518e+02       4.299765207162e-01       4.299761751053e-01 
       3.613406050982e-03      -1.962544424091e+00      -1.177272499811e+02      -1.177563338873e+02      -1.834695358893e+00      -9.431004992990e+01      -9.431004992990e+01      -9.431004992990e+01      -1.175134380937e+02       4.285249910832e-01       4.285246891540e-01 
       3.729130553681e-03      -1.932708245369e+00      -1.248718515108e+02      -1.249033951134e+02      -1.814232677839e+00      -9.922882246268e+01      -9.922882246268e+01      -9.922882246268e+01      -1.246381465154e+02       4.270652646133e-01       4.270650407277e-01 
       3.845357198414e-03      -1.887362027915e+00      -1.322344368666e+02      -1.322685861384e+02      -1.770411629724e+00      -1.042364153010e+02      -1.042364153010e+02      -1.042364153010e+02      -1.319797196775e+02       4.255985504511e-01       4.255984123504e-01 
       3.962047943751e-03      -1.863684004978e+00      -1.398125992115e+02      -1.398495151796e+02      -1.736101968297e+00      -1.093290523006e+02      -1.093290523006e+02      -1.093290523006e+02      -1.395357575972e+02       4.241259088196e-01       4.241258207539e-01 
       4.079168251444e-03      -1.877603327808e+00      -1.476038819107e+02      -1.476437448500e+02      -1.733634393448e+00      -1.145030699271e+02      -1.145030699271e+02      -1.145030699271e+02      -1.473038117044e+02       4.226482729324e-01       4.226481896176e-01 
       4.196686732094e-03      -1.904436874271e+00      -1.556058583825e+02      -1.556488603695e+02      -1.746434043275e+00      -1.197549358325e+02      -1.197549358325e+02      -1.197549358325e+02      -1.552814509884e+02       4.211665981654e-01       4.211665070752e-01 
       4.314574827084e-03      -1.907042768633e+00      -1.638159735347e+02      -1.638623296131e+02      -1.741080930529e+00      -1.250811006596e+02      -1.250811006596e+02      -1.250811006596e+02      -1.634661240346e+02       4.196814746643e-01       4.196813993170e-01 
       4.432806523638e-03      -1.878840245545e+00      -1.722317827547e+02      -1.722817200237e+02      -1.709585719725e+00      -1.304781355065e+02      -1.304781355065e+02      -1.304781355065e+02      -1.718553863689e+02       4.181937528285e-01       4.181937174387e-01 
       4.551358099870e-03      -1.850575048997e+00      -1.808507574959e+02      -1.809045179354e+02      -1.678344365332e+00      -1.359425585523e+02      -1.359425585523e+02      -1.359425585523e+02      -1.804467188901e+02       4.167040364819e-01       4.167040350362e-01 
       4.670207896890e-03      -1.664595947886e+00      -1.896703765051e+02      -1.897282105444e+02      -1.660851483237e+00      -1.414708680009e+02      -1.414708680009e+02      -1.414708680009e+02      -1.892375706351e+02       4.152128708092e-01       4.152127950171e-01 
       4.789336115161e-03      -1.658615263817e+00      -1.986882163657e+02      -1.987503831932e+02      -1.654884193286e+00      -1.470596025796e+02      -1.470596025796e+02      -1.470596025796e+02      -1.982255764128e+02       4.137210483214e-01       4.137209840060e-01 
       4.908724632578e-03      -1.652632972107e+00      -2.079017126676e+02      -2.079684757877e+02      -1.648915300411e+00      -1.527051243277e+02      -1.527051243277e+02      -1.527051243277e+02      -2.074081338282e+02       4.122288251028e-01       4.122287703821e-01 
       5.028356841920e-03      -1.646651681976e+00      -2.173084798710e+02      -2.173801063696e+02      -1.642947407890e+00      -1.584038570833e+02      -1.584038570833e+02      -1.584038570833e+02      -2.167828496929e+02       4.107368519725e-01       4.107368052924e-01 
       5.148217505561e-03      -1.640672006554e+00      -2.269059107904e+02      -2.269826677025e+02      -1.636981127381e+00      -1.641519784679e+02      -1.641519784679e+02      -1.641519784679e+02      -2.263471059670e+02       4.092452818452e-01       4.092452419193e-01 
       5.268292625561e-03      -1.634696145859e+00      -2.366916264377e+02      -2.367737881303e+02      -1.631018653844e+00      -1.699457578544e+02      -1.699457578544e+02      -1.699457578544e+02      -2.360985176323e+02       4.077546634609e-01       4.077546292218e-01 
       5.388569327408e-03      -1.628725554705e+00      -2.466631935663e+02      -2.467510335741e+02      -1.625061438718e+00      -1.757813381328e+02      -1.757813381328e+02      -1.757813381328e+02      -2.460346379720e+02       4.062653596795e-01       4.062653302394e-01 
       5.509035755916e-03      -1.622761050618e+00      -2.568181031998e+02      -2.569119035637e+02      -1.619110297612e+00      -1.816547426233e+02      -1.816547426233e+02      -1.816547426233e+02      -2.561529519005e+02       4.047775744031e-01       4.047775490220e-01 
       5.629680981924e-03      -1.616804383904e+00      -2.671540213432e+02      -2.672540723651e+02      -1.613166976826e+00      -1.875620588621e+02      -1.875620588621e+02      -1.875620588621e+02      -2.664511180512e+02       4.032917442065e-01       4.032917222659e-01 
       5.750494918588e-03      -1.610855951651e+00      -2.776684264047e+02      -2.777750300979e+02      -1.607231872504e+00      -1.934991944601e+02      -1.934991944601e+02      -1.934991944601e+02      -2.769266104306e+02       4.018079681260e-01       4.018079491081e-01 
       5.871468246215e-03      -1.604917249877e+00      -2.883590042356e+02      -2.884724793620e+02      -1.601306477253e+00      -1.994621795449e+02      -1.994621795449e+02      -1.994621795449e+02      -2.875771138462e+02       4.003266193133e-01       4.003266027834e-01 
       5.992592344693e-03      -1.598988209272e+00      -2.992231946915e+02      -2.993438780485e+02      -1.595390721892e+00      -2.054468578802e+02      -2.054468578802e+02      -2.054468578802e+02      -2.984000687756e+02       3.988476804731e-01       3.988476660655e-01 
       6.113859232683e-03      -1.593070785975e+00      -3.102588322170e+02      -3.103870747225e+02      -1.589486558145e+00      -2.114493571077e+02      -2.114493571077e+02      -2.114493571077e+02      -3.093933059368e+02       3.973716395362e-01       3.973716269427e-01 
       6.235261512838e-03      -1.587164765462e+00      -3.214633748545e+02      -3.215995533042e+02      -1.583593771952e+00      -2.174655736531e+02      -2.174655736531e+02      -2.174655736531e+02      -3.205542908232e+02       3.958984429880e-01       3.958984319481e-01 
       6.356792322389e-03      -1.581271323835e+00      -3.328345770737e+02      -3.329790833868e+02      -1.577713536757e+00      -2.234916553704e+02      -2.234916553704e+02      -2.234916553704e+02      -3.318807759549e+02       3.944283841894e-01       3.944283744826e-01 
       6.478445288534e-03      -1.575390492623e+00      -3.443699892143e+02      -3.445232363128e+02      -1.571845884000e+00      -2.295236788798e+02      -2.295236788798e+02      -2.295236788798e+02      -3.433703158735e+02       3.929614710000e-01       3.929614624395e-01 
       6.600214488102e-03      -1.569523133225e+00      -3.560673590877e+02      -3.562297743314e+02      -1.565991673142e+00      -2.355579412981e+02      -2.355579412981e+02      -2.355579412981e+02      -3.550206573193e+02       3.914979182855e-01       3.914979107124e-01 
       6.722094411053e-03      -1.563669682244e+00      -3.679243807459e+02      -3.680963997521e+02      -1.560151339788e+00      -2.415908047879e+02      -2.415908047879e+02      -2.415908047879e+02      -3.668294892529e+02       3.900378349471e-01       3.900378282260e-01 
       6.844079927402e-03      -1.557830370789e+00      -3.799387165250e+02      -3.801207941202e+02      -1.554325114512e+00      -2.476187414483e+02      -2.476187414483e+02      -2.476187414483e+02      -3.787944793337e+02       3.885812786280e-01       3.885812726436e-01 
       6.966166257218e-03      -1.552006242852e+00      -3.921082634058e+02      -3.923008504937e+02      -1.548514038962e+00      -2.536385063775e+02      -2.536385063775e+02      -2.536385063775e+02      -3.909135110636e+02       3.871285097406e-01       3.871285043942e-01 
