# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.01244e-05 to 163.241 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       1.515195796064e-03      -2.320393726233e+00      -2.318236307522e+01      -2.318717949344e+01      -2.294994534853e+00      -2.170048619098e+01      -2.170048619098e+01      -2.170048619098e+01      -2.316888955955e+01       4.535619439490e-01       4.535618985661e-01 
       1.603087185090e-03      -2.336420155026e+00      -2.571097821301e+01      -2.571641185874e+01      -2.316647878505e+00      -2.390586600664e+01      -2.390586600664e+01      -2.390586600664e+01      -2.569456941987e+01       4.526449063144e-01       4.526444916941e-01 
       1.693701631244e-03      -2.334774878054e+00      -2.845758055848e+01      -2.846366694767e+01      -2.323220599357e+00      -2.627478499958e+01      -2.627478499958e+01      -2.627478499958e+01      -2.843771866186e+01       4.516776322553e-01       4.516770597769e-01 
       1.786857474953e-03      -2.294508776021e+00      -3.142770739042e+01      -3.143448368539e+01      -2.290952125363e+00      -2.880761399834e+01      -2.880761399834e+01      -2.880761399834e+01      -3.140382326094e+01       4.506619966689e-01       4.506615047243e-01 
       1.882372846109e-03      -2.224293014062e+00      -3.462586218372e+01      -3.463336944542e+01      -2.226668099927e+00      -3.150385273979e+01      -3.150385273979e+01      -3.150385273979e+01      -3.459734423711e+01       4.496004175684e-01       4.496001090643e-01 
       1.980069402286e-03      -2.159116076137e+00      -3.805557455528e+01      -3.806386114446e+01      -2.164342027415e+00      -3.436222891321e+01      -3.436222891321e+01      -3.436222891321e+01      -3.802177831782e+01       4.484955177737e-01       4.484953071622e-01 
       2.079775194261e-03      -2.133230242596e+00      -4.171949723084e+01      -4.172862131971e+01      -2.137387350389e+00      -3.738080836504e+01      -3.738080836504e+01      -3.738080836504e+01      -4.167974944597e+01       4.473501504963e-01       4.473498550689e-01 
       2.181326713098e-03      -2.150159840890e+00      -4.561949598218e+01      -4.562952791064e+01      -2.148827718601e+00      -4.055707550635e+01      -4.055707550635e+01      -4.055707550635e+01      -4.557309313388e+01       4.461671898832e-01       4.461666859388e-01 
       2.284570219489e-03      -2.177557693845e+00      -4.975672757559e+01      -4.976775274932e+01      -2.167433348113e+00      -4.388798566558e+01      -4.388798566558e+01      -4.388798566558e+01      -4.970293369312e+01       4.449492901999e-01       4.449486052589e-01 
       2.389362477613e-03      -2.174950369834e+00      -5.413177289046e+01      -5.414388999054e+01      -2.156312170710e+00      -4.737005481928e+01      -4.737005481928e+01      -4.737005481928e+01      -5.406981798253e+01       4.436993392791e-01       4.436986112810e-01 
