# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=5.23499e-06 to 105.958 h/Mpc,
# number of wavenumbers equal to 575
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_nudm                 5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_ncdm[2]              9:d_tot                 10:phi                   11:psi                
       2.151546408058e-03      -1.127573511227e+00      -1.155315934325e+02      -1.155584694751e+02      -8.758242387233e-01      -7.572630110810e+01      -7.572630110810e+01      -7.572630110810e+01      -1.132327679981e+02       1.974783434631e-01       1.974784097759e-01 
       2.227651338940e-03      -1.114653174198e+00      -1.220085233054e+02      -1.220377268704e+02      -8.727351685607e-01      -7.876774113925e+01      -7.876774113925e+01      -7.876774113925e+01      -1.195148521414e+02       1.946021677678e-01       1.946022128763e-01 
       2.304640466441e-03      -1.041746908196e+00      -1.286509456630e+02      -1.286826863159e+02      -8.189220917306e-01      -8.180486109428e+01      -8.180486109428e+01      -8.180486109428e+01      -1.259528980254e+02       1.917613859240e-01       1.917615816287e-01 
       2.382457277290e-03      -7.594443477605e-01      -1.354519920703e+02      -1.354864813338e+02      -7.558349543207e-01      -8.483145882936e+01      -8.483145882936e+01      -8.483145882936e+01      -1.325399240281e+02       1.889587385802e-01       1.889585642611e-01 
       2.461048554965e-03      -7.483423373416e-01      -1.424046889555e+02      -1.424421348770e+02      -7.447851175847e-01      -8.784114398518e+01      -8.784114398518e+01      -8.784114398518e+01      -1.392695007438e+02       1.861962793962e-01       1.861961404906e-01 
       2.540364339628e-03      -7.374054219147e-01      -1.495019865098e+02      -1.495425932756e+02      -7.338996112425e-01      -9.082735552825e+01      -9.082735552825e+01      -9.082735552825e+01      -1.461343277548e+02       1.834749028106e-01       1.834747917275e-01 
       2.620357847917e-03      -7.266386699169e-01      -1.567370788138e+02      -1.567810493839e+02      -7.231834794347e-01      -9.378357690614e+01      -9.378357690614e+01      -9.378357690614e+01      -1.531276221429e+02       1.807958698587e-01       1.807957806772e-01 
       2.700985363039e-03      -7.160446371885e-01      -1.641030066462e+02      -1.641505634025e+02      -7.126392648716e-01      -9.670315923230e+01      -9.670315923230e+01      -9.670315923230e+01      -1.602424489944e+02       1.781598162179e-01       1.781597443161e-01 
       2.782206103927e-03      -7.056257617909e-01      -1.715931203307e+02      -1.716445086697e+02      -7.022693929467e-01      -9.957968970235e+01      -9.957968970235e+01      -9.957968970235e+01      -1.674721785941e+02       1.755673482367e-01       1.755672900015e-01 
       2.863982080657e-03      -6.953825968427e-01      -1.792006551692e+02      -1.792561567069e+02      -6.920744134432e-01      -1.024068304097e+02      -1.024068304097e+02      -1.024068304097e+02      -1.748100767179e+02       1.730186033608e-01       1.730185559634e-01 
