# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)A_nudm[0]          15:(.)rho_ncdm[1]        16:(.)p_ncdm[1]          17:(.)A_nudm[1]          18:(.)rho_ncdm[2]        19:(.)p_ncdm[2]          20:(.)A_nudm[2]          21:(.)rho_lambda         22:(.)rho_ur             23:(.)rho_crit           24:(.)rho_tot            25:(.)p_tot              26:(.)p_tot_prime        27:gr.fac. D             28:gr.fac. f          
       8.283317249071e+13       1.101608047914e-25       5.595211405307e-09       1.480364899778e+22       2.755658789278e+04       3.326757513226e-10       2.282599598178e+18       3.230538257326e-09       1.295377210063e+44       1.405759224491e+33       6.323703214086e+14       2.980724236004e+43       9.935747453346e+42       1.630295806066e-07       2.980724236004e+43       9.935747453346e+42       1.630295806066e-07       2.980724236004e+43       9.935747453346e+42       1.630295806066e-07       5.084621489637e-08       1.885755615064e+41       2.191480236494e+44       2.191480236494e+44       7.304934121598e+43      -5.222047034364e+52       2.213144654324e-05       5.309502279868e+00 
       8.225737089445e+13       1.117084539379e-25       5.635229172185e-09       1.459855391384e+22       2.755658789278e+04       3.350044815819e-10       2.266732470882e+18       3.253152025127e-09       1.259732604377e+44       1.376646802372e+33       6.192743150570e+14       2.898704312212e+43       9.662347707373e+42       1.607709100907e-07       2.898704312212e+43       9.662347707373e+42       1.607709100907e-07       2.898704312212e+43       9.662347707373e+42       1.607709100907e-07       5.084621489637e-08       1.833865698523e+41       2.131177763753e+44       2.131177763753e+44       7.103925879131e+43      -5.043051768796e+52       2.295112974854e-05       5.119877198445e+00 
       8.168557189121e+13       1.132778460072e-25       5.675246939063e-09       1.439630029105e+22       2.755658789278e+04       3.373495129530e-10       2.250975641392e+18       3.275924089302e-09       1.225068823354e+44       1.348137280882e+33       6.064495190652e+14       2.818941312364e+43       9.396471041214e+42       1.585435320095e-07       2.818941312364e+43       9.396471041214e+42       1.585435320095e-07       2.818941312364e+43       9.396471041214e+42       1.585435320095e-07       5.084621489637e-08       1.783403625239e+41       2.072534620702e+44       2.072534620702e+44       6.908448735627e+43      -4.870191895131e+52       2.377081295385e-05       4.943329708843e+00 
       8.111774765760e+13       1.148692864658e-25       5.715264705941e-09       1.419684876278e+22       2.755658789278e+04       3.397109595436e-10       2.235328342991e+18       3.298855557928e-09       1.191358877859e+44       1.320218174315e+33       5.938903168308e+14       2.741373133188e+43       9.137910443959e+42       1.563470128263e-07       2.741373133188e+43       9.137910443959e+42       1.563470128263e-07       2.741373133188e+43       9.137910443959e+42       1.563470128263e-07       5.084621489637e-08       1.734330105567e+41       2.015505147934e+44       2.015505147934e+44       6.718350493068e+43      -4.703257111529e+52       2.459049615915e-05       4.778552051882e+00 
       8.055387056366e+13       1.164830850714e-25       5.755282472819e-09       1.400016050781e+22       2.755658789278e+04       3.420889362604e-10       2.219789814291e+18       3.321947546833e-09       1.158576521413e+44       1.292877255535e+33       5.815912080680e+14       2.665939380292e+43       8.886464600973e+42       1.541809250108e-07       2.665939380292e+43       8.886464600973e+42       1.541809250108e-07       2.665939380292e+43       8.886464600973e+42       1.541809250108e-07       5.084621489637e-08       1.686606930987e+41       1.960044942445e+44       1.960044942445e+44       6.533483141439e+43      -4.542044324633e+52       2.541017936446e-05       4.624405211498e+00 
       7.999391317146e+13       1.181195559335e-25       5.795300239697e-09       1.380619724275e+22       2.755658789278e+04       3.444835588143e-10       2.204359299197e+18       3.345201179661e-09       1.126696229756e+44       1.266102550624e+33       5.695468063985e+14       2.592581321145e+43       8.641937737151e+42       1.520448469559e-07       2.592581321145e+43       8.641937737151e+42       1.520448469559e-07       2.592581321145e+43       8.641937737151e+42       1.520448469559e-07       5.084621489637e-08       1.640196944355e+41       1.906110823056e+44       1.906110823056e+44       6.353702743479e+43      -4.386357402481e+52       2.622986256976e-05       4.479892548639e+00 
       7.943784823382e+13       1.197790175748e-25       5.835318006575e-09       1.361492121460e+22       2.755658789278e+04       3.468949437260e-10       2.189036046869e+18       3.368617587918e-09       1.095693180972e+44       1.239882333635e+33       5.577518369927e+14       2.521241839345e+43       8.404139464485e+42       1.499383628956e-07       2.521241839345e+43       8.404139464485e+42       1.499383628956e-07       2.521241839345e+43       8.404139464485e+42       1.499383628956e-07       5.084621489637e-08       1.595064010971e+41       1.853660796799e+44       1.853660796799e+44       6.178869322621e+43      -4.236006935898e+52       2.704954577507e-05       4.344138228983e+00 
       7.888564869297e+13       1.214617929927e-25       5.875335773453e-09       1.342629519343e+22       2.755658789278e+04       3.493232083320e-10       2.173819311687e+18       3.392197911034e-09       1.065543236164e+44       1.214205121459e+33       5.462011342596e+14       2.451865390150e+43       8.172884633834e+42       1.478610628240e-07       2.451865390150e+43       8.172884633834e+42       1.478610628240e-07       2.451865390150e+43       8.172884633834e+42       1.478610628240e-07       5.084621489637e-08       1.551172990446e+41       1.802654026212e+44       1.802654026212e+44       6.008846753998e+43      -4.090810008055e+52       2.786922898037e-05       4.216369457543e+00 
       7.833728767922e+13       1.231682097225e-25       5.915353540331e-09       1.324028246508e+22       2.755658789278e+04       3.517684707904e-10       2.158708353215e+18       3.415943296411e-09       1.036222920661e+44       1.189059668795e+33       5.348896395841e+14       2.384397957229e+43       7.947993190765e+42       1.458125424156e-07       2.384397957229e+43       7.947993190765e+42       1.458125424156e-07       2.384397957229e+43       7.947993190765e+42       1.458125424156e-07       5.084621489637e-08       1.508489709340e+41       1.753050797551e+44       1.753050797551e+44       5.843502658464e+43      -3.950589971934e+52       2.868891218568e-05       4.095901758756e+00 
       7.779273850965e+13       1.248985999009e-25       5.959009286016e-09       1.305684682405e+22       2.755658789278e+04       3.542308500859e-10       2.143702436161e+18       3.439854899485e-09       1.007709405738e+44       1.164434963227e+33       5.238123991124e+14       2.318787010608e+43       7.729290035361e+42       1.437924029466e-07       2.318787010608e+43       7.729290035361e+42       1.437924029466e-07       2.318787010608e+43       7.729290035361e+42       1.437924029466e-07       5.084621489637e-08       1.466980934558e+41       1.704812489867e+44       1.704812489867e+44       5.682708299517e+43      -3.815176235419e+52       2.950859539098e-05       3.982126709901e+00 
