# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       3.173882657496e+01       9.098331094066e-02       2.516215115498e+03       2.371041255140e-02       1.157152554403e+04       3.534496118098e+02       3.788381679937e+05       6.538251382283e+02       3.161051048397e-06       8.679353658289e-05       4.700047653553e-04       3.759359733323e-08       2.186716773697e-06       5.621836633576e-04       5.621836633576e-04       1.744995676698e-06      -5.164012460887e-09       3.954568048396e-02       9.936016584820e-01 
       3.151085603253e+01       9.194959303488e-02       2.525880564614e+03       2.346242933258e-02       1.156186009491e+04       3.556307494132e+02       3.758859690140e+05       6.550240362926e+02       3.073920926706e-06       8.499302206755e-05       4.602546107284e-04       3.759359733323e-08       2.126442866164e-06       5.504855901861e-04       5.504855901861e-04       1.695861000290e-06      -5.003996936564e-09       3.982120577173e-02       9.936449059069e-01 
       3.128447289180e+01       9.292608812739e-02       2.535580156630e+03       2.321704535345e-02       1.155216050290e+04       3.578240394883e+02       3.729554125975e+05       6.562231659372e+02       2.989192419490e-06       8.322985865244e-05       4.507067199542e-04       3.759359733323e-08       2.067830320810e-06       5.390311949442e-04       5.390311949442e-04       1.648080649433e-06      -4.848940922094e-09       4.009866282448e-02       9.936878342970e-01 
       3.105966609973e+01       9.391290392412e-02       2.545314009788e+03       2.297423328300e-02       1.154242664974e+04       3.600295341140e+02       3.700463443713e+05       6.574225256338e+02       2.906799330086e-06       8.150327150636e-05       4.413568971631e-04       3.759359733323e-08       2.010833344843e-06       5.278153949417e-04       5.278153949417e-04       1.601617294310e-06      -4.698690661030e-09       4.037806518009e-02       9.937304453575e-01 
       3.083642468023e+01       9.491014926555e-02       2.555082242744e+03       2.273396607917e-02       1.153265841678e+04       3.622472853851e+02       3.671586110488e+05       6.586221138628e+02       2.826677286426e-06       7.981250187145e-05       4.322010335261e-04       3.759359733323e-08       1.955407407669e-06       5.168332136890e-04       5.168332136890e-04       1.556434634032e-06      -4.553097165285e-09       4.065942647115e-02       9.937727407727e-01 
       3.061473773364e+01       9.591793413869e-02       2.564884974568e+03       2.249621698582e-02       1.152285568496e+04       3.644773454091e+02       3.642920604225e+05       6.598219291130e+02       2.748763690744e-06       7.815680672981e-05       4.232351054492e-04       3.759359733323e-08       1.901509206100e-06       5.060797786731e-04       5.060797786731e-04       1.512497368282e-06      -4.412016067194e-09       4.094276042561e-02       9.938147222058e-01 
       3.039459443616e+01       9.693636968906e-02       2.574722324744e+03       2.226095952964e-02       1.151301833478e+04       3.667197663022e+02       3.614465413566e+05       6.610219698822e+02       2.672997670672e-06       7.653545847695e-05       4.144551728050e-04       3.759359733323e-08       1.849096630526e-06       4.955503191805e-04       4.955503191805e-04       1.469771169733e-06      -4.275307476171e-09       4.122808086745e-02       9.938563912988e-01 
       3.017598403939e+01       9.796556823296e-02       2.584594413176e+03       2.202816751718e-02       1.150314624635e+04       3.689746001864e+02       3.586219037790e+05       6.622222346765e+02       2.599320031681e-06       7.494774460206e-05       4.058573772018e-04       3.759359733323e-08       1.798128732013e-06       4.852401641649e-04       4.852401641649e-04       1.428222657232e-06      -4.142835839813e-09       4.151540171731e-02       9.938977496729e-01 
       2.995889586975e+01       9.900564326971e-02       2.594501360184e+03       2.179781503181e-02       1.149323929934e+04       3.712418991846e+02       3.558179986744e+05       6.634227220104e+02       2.527673210837e-06       7.339296737493e-05       3.974379402876e-04       3.759359733323e-08       1.748565690315e-06       4.751447401611e-04       4.751447401611e-04       1.387819369718e-06      -4.014469809317e-09       4.180473699320e-02       9.939387989275e-01 
       2.974331932796e+01       1.000567094941e-01       2.604443286509e+03       2.156987643083e-02       1.148329737302e+04       3.735217154178e+02       3.530346780766e+05       6.646234304070e+02       2.458001231829e-06       7.187044353932e-05       3.891931620901e-04       3.759359733323e-08       1.700368782761e-06       4.652595692414e-04       4.652595692414e-04       1.348529740863e-06      -3.890082109071e-09       4.209610081117e-02       9.939795406411e-01 
