# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:T_dmeff               13:cdmeff2               14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       1.174310295469e+02       1.306815485731e-02       1.230224970465e+03       1.622781789180e-01       1.306040477573e+04       1.102785716353e+02       1.546757183889e+06       4.454377470507e+02       5.413038185421e-04       4.108606709022e-03       2.131004739317e-02       1.094430446745e-03       1.571846915751e-11       3.815882481151e-08       3.742112733689e-04       2.633420735293e-02       2.633420735293e-02       3.051335384788e-04      -1.672626084067e-06       1.121754233207e-02       9.765551846041e-01 
       1.166063941884e+02       1.320933800883e-02       1.235333588348e+03       1.605667828320e-01       1.305529615785e+04       1.110083873240e+02       1.535386306187e+06       4.465761549039e+02       5.263841585178e-04       4.023378223507e-03       2.086799411473e-02       1.079242471475e-03       1.550033587527e-11       3.815882481151e-08       3.638970934486e-04       2.578169174902e-02       2.578169174902e-02       2.967222584973e-04      -1.620655604999e-06       1.129435370178e-02       9.767145612092e-01 
       1.157875004345e+02       1.335202595673e-02       1.240460705830e+03       1.588735639075e-01       1.305016904037e+04       1.117428576843e+02       1.524096622472e+06       4.477152915224e+02       5.118757150697e-04       3.939917674700e-03       2.043511056648e-02       1.064265261477e-03       1.528522965322e-11       3.815882481151e-08       3.538671935822e-04       2.524080930866e-02       2.524080930866e-02       2.885428107258e-04      -1.570301168799e-06       1.137170368548e-02       9.768728799615e-01 
       1.149743083131e+02       1.349623462306e-02       1.245606385721e+03       1.571983269092e-01       1.304502336047e+04       1.124820104575e+02       1.512887561159e+06       4.488551529346e+02       4.977671544187e-04       3.858188390325e-03       2.001120654091e-02       1.049495892060e-03       1.507310848630e-11       3.815882481151e-08       3.441137385616e-04       2.471131398304e-02       2.471131398304e-02       2.805888055020e-04      -1.521512477011e-06       1.144959606007e-02       9.770301475125e-01 
       1.141667781304e+02       1.364198009782e-02       1.250770691056e+03       1.555408787351e-01       1.303985905514e+04       1.132258735273e+02       1.501758554655e+06       4.499957351838e+02       4.840474551560e-04       3.778154458773e-03       1.959609577582e-02       1.034931479117e-03       1.486393095226e-11       3.815882481151e-08       3.346291091253e-04       2.419296495770e-02       2.419296495770e-02       2.728540292689e-04      -1.474240798436e-06       1.152803462891e-02       9.771863704766e-01 
       1.133648704688e+02       1.378927864079e-02       1.255953685092e+03       1.539010283927e-01       1.303467606110e+04       1.139744749212e+02       1.490709039331e+06       4.511370343283e+02       4.707058996339e-04       3.699780713324e-03       1.918959587253e-02       1.020569178558e-03       1.465765620364e-11       3.815882481151e-08       3.254058960061e-04       2.368552654032e-02       2.368552654032e-02       2.653324397218e-04      -1.428438920242e-06       1.160702322204e-02       9.773415554311e-01 
       1.125685461851e+02       1.393814668325e-02       1.261155431316e+03       1.522785869747e-01       1.302947431488e+04       1.147278428099e+02       1.479738455498e+06       4.522790464419e+02       4.577320655941e-04       3.623032716702e-03       1.879152821573e-02       1.006406185757e-03       1.445424395976e-11       3.815882481151e-08       3.164368941439e-04       2.318876805100e-02       2.318876805100e-02       2.580181610879e-04      -1.384061100584e-06       1.168656569637e-02       9.774957089164e-01 
       1.117777664088e+02       1.408860082987e-02       1.266375993439e+03       1.506733676364e-01       1.302425375276e+04       1.154860055088e+02       1.468846247377e+06       4.534217676131e+02       4.451158180269e-04       3.547876745938e-03       1.840171789504e-02       9.924397350046e-04       1.425365449886e-11       3.815882481151e-08       3.077150970578e-04       2.270246371488e-02       2.270246371488e-02       2.509054795367e-04      -1.341063022717e-06       1.176666593584e-02       9.776488374360e-01 
       1.109924925395e+02       1.424065786046e-02       1.271615435400e+03       1.490851855722e-01       1.301901431080e+04       1.162489914778e+02       1.458031863073e+06       4.545651939459e+02       4.328473012542e-04       3.474279777559e-03       1.801999362809e-02       9.786670989688e-04       1.405584865035e-11       3.815882481151e-08       2.992336913729e-04       2.222639255710e-02       2.222639255710e-02       2.439888387175e-04      -1.299401750538e-06       1.184732785161e-02       9.778009474567e-01 
       1.102126862458e+02       1.439433473187e-02       1.276873821368e+03       1.475138579931e-01       1.301375592483e+04       1.170168293216e+02       1.447294754547e+06       4.557093215594e+02       4.209169312312e-04       3.402209473078e-03       1.764618768538e-02       9.650855881599e-04       1.386078778717e-11       3.815882481151e-08       2.909860514983e-04       2.176033830001e-02       2.176033830001e-02       2.372628354184e-04      -1.259035685517e-06       1.192855538229e-02       9.779520454088e-01 
