# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.00946e-05 to 163.221 h/Mpc,
# number of wavenumbers equal to 626
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       8.067753466432e-03      -1.509772695581e+00      -5.142031855143e+02      -5.145134236137e+02      -1.506364884719e+00      -5.143072823432e+02       3.765912211796e-01       3.765912211796e-01 
       8.190637016235e-03      -1.504276747605e+00      -5.280108296822e+02      -5.283367326791e+02      -1.500881343169e+00      -5.281238546558e+02       3.752203357922e-01       3.752203357922e-01 
       8.313585614016e-03      -1.498794089804e+00      -5.419530863896e+02      -5.422952554270e+02      -1.495411061260e+00      -5.420755023972e+02       3.738527653150e-01       3.738527653150e-01 
       8.436597114079e-03      -1.493325441939e+00      -5.560278383109e+02      -5.563869013906e+02      -1.489954757769e+00      -5.561601313965e+02       3.724886894422e-01       3.724886894422e-01 
       8.559669504301e-03      -1.487870983215e+00      -5.702329875921e+02      -5.706095869081e+02      -1.484512611523e+00      -5.703756563325e+02       3.711281528808e-01       3.711281528808e-01 
       8.682800897556e-03      -1.482430878926e+00      -5.845664358397e+02      -5.849612286623e+02      -1.479084787509e+00      -5.847199920853e+02       3.697711968772e-01       3.697711968772e-01 
       8.805989523813e-03      -1.477005567126e+00      -5.990262108312e+02      -5.994398650318e+02      -1.473671722861e+00      -5.991911759173e+02       3.684179307154e-01       3.684179307154e-01 
       8.929233722859e-03      -1.471593184703e+00      -6.136102276793e+02      -6.140434258052e+02      -1.468271556478e+00      -6.137871358746e+02       3.670678891195e-01       3.670678891195e-01 
       9.052531937575e-03      -1.466195410349e+00      -6.283163100757e+02      -6.287697470609e+02      -1.462885966134e+00      -6.285057066926e+02       3.657214915334e-01       3.657214915334e-01 
       9.175882707736e-03      -1.460812836484e+00      -6.431427034917e+02      -6.436170727695e+02      -1.457515542148e+00      -6.433451331187e+02       3.643788855369e-01       3.643788855369e-01 
       9.299284664283e-03      -1.455445460834e+00      -6.580872998055e+02      -6.585833055277e+02      -1.452160282374e+00      -6.583033166554e+02       3.630400705936e-01       3.630400705936e-01 
       9.422736524020e-03      -1.450092202500e+00      -6.731480891594e+02      -6.736664494139e+02      -1.446819107632e+00      -6.733782597357e+02       3.617047769080e-01       3.617047769080e-01 
       9.546237084713e-03      -1.444753944397e+00      -6.883232057686e+02      -6.888646409965e+02      -1.441492899217e+00      -6.885680991150e+02       3.603732248042e-01       3.603732248042e-01 
       9.669785220550e-03      -1.439431345419e+00      -7.036105354349e+02      -7.041757867601e+02      -1.436182315173e+00      -7.038707385724e+02       3.590455787932e-01       3.590455787932e-01 
       9.793379877934e-03      -1.434122270529e+00      -7.190081506710e+02      -7.195979658156e+02      -1.430885223847e+00      -7.192842567363e+02       3.577213059616e-01       3.577213059616e-01 
       9.917020071586e-03      -1.428828747120e+00      -7.345141288459e+02      -7.351292770238e+02      -1.425603649289e+00      -7.348067495733e+02       3.564009123224e-01       3.564009123224e-01 
       1.004070488092e-02      -1.423550482754e+00      -7.501265073378e+02      -7.507677723814e+02      -1.420337299686e+00      -7.504362673103e+02       3.550843249216e-01       3.550843249216e-01 
       1.016443344671e-02      -1.418286771299e+00      -7.658433158893e+02      -7.665115037164e+02      -1.415085469931e+00      -7.661708587989e+02       3.537713674828e-01       3.537713674828e-01 
       1.028820496794e-02      -1.413038098749e+00      -7.816626926285e+02      -7.823586273046e+02      -1.409848645239e+00      -7.820086779433e+02       3.524621613097e-01       3.524621613097e-01 
       1.041201869892e-02      -1.407804393374e+00      -7.975827361661e+02      -7.983072636902e+02      -1.404626753966e+00      -7.979478423148e+02       3.511566884914e-01       3.511566884914e-01 
       1.053587394662e-02      -1.402585963754e+00      -8.136017436977e+02      -8.143557232568e+02      -1.399420104105e+00      -8.139866606801e+02       3.498550260262e-01       3.498550260262e-01 
       1.065977006814e-02      -1.397382407383e+00      -8.297177272899e+02      -8.305020394045e+02      -1.394228293833e+00      -8.301231635900e+02       3.485570734581e-01       3.485570734581e-01 
       1.078370646837e-02      -1.392194425099e+00      -8.459288514546e+02      -8.467443914199e+02      -1.389052023008e+00      -8.463555284975e+02       3.472630057519e-01       3.472630057519e-01 
       1.090768259788e-02      -1.387020470516e+00      -8.622333465032e+02      -8.630810229957e+02      -1.383889747412e+00      -8.626819974667e+02       3.459724368530e-01       3.459724368530e-01 
       1.103169795086e-02      -1.381861670219e+00      -8.786293038087e+02      -8.795100398667e+02      -1.378742592134e+00      -8.791006744881e+02       3.446856480336e-01       3.446856480336e-01 
       1.115575206324e-02      -1.376718228135e+00      -8.951150291019e+02      -8.960297530634e+02      -1.373610760554e+00      -8.956098702496e+02       3.434026901384e-01       3.434026901384e-01 
       1.127984451099e-02      -1.371589395697e+00      -9.116885087847e+02      -9.126381703362e+02      -1.368493505678e+00      -9.122075896576e+02       3.421233764194e-01       3.421233764194e-01 
       1.140397490846e-02      -1.366475499552e+00      -9.283481108958e+02      -9.293336608327e+02      -1.363391154005e+00      -9.288922021765e+02       3.408477885014e-01       3.408477885014e-01 
       1.152814290686e-02      -1.361376372932e+00      -9.450919713972e+02      -9.461143774885e+02      -1.358303537946e+00      -9.456618585608e+02       3.395758844866e-01       3.395758844866e-01 
       1.165234819288e-02      -1.356292899657e+00      -9.619184584379e+02      -9.629786924728e+02      -1.353231542882e+00      -9.625149308254e+02       3.383078857205e-01       3.383078857205e-01 
       1.177659048739e-02      -1.351223208493e+00      -9.788257551295e+02      -9.799248134570e+02      -1.348173295482e+00      -9.794496232177e+02       3.370433238705e-01       3.370433238705e-01 
       1.190086954417e-02      -1.346167854854e+00      -9.958121837434e+02      -9.969510696152e+02      -1.343129352976e+00      -9.964642643046e+02       3.357823382439e-01       3.357823382439e-01 
       1.202518514882e-02      -1.341128055716e+00      -1.012875947197e+03      -1.014055685455e+03      -1.338100930762e+00      -1.013557075645e+03       3.345252326905e-01       3.345252326905e-01 
       1.214953711769e-02      -1.336103186354e+00      -1.030015457386e+03      -1.031237082126e+03      -1.333087406207e+00      -1.030726477374e+03       3.332718515519e-01       3.332718515519e-01 
       1.227392529690e-02      -1.331090414607e+00      -1.047228844426e+03      -1.048493420167e+03      -1.328085946836e+00      -1.047970625672e+03       3.320214867089e-01       3.320214867089e-01 
       1.239834956144e-02      -1.326094755033e+00      -1.064514583853e+03      -1.065823182353e+03      -1.323101564783e+00      -1.065288002608e+03       3.307753911957e-01       3.307753911957e-01 
       1.252280981431e-02      -1.321110774321e+00      -1.081870889805e+03      -1.083224627403e+03      -1.318128830866e+00      -1.082676860224e+03       3.295322077164e-01       3.295322077164e-01 
       1.264730598575e-02      -1.316141764223e+00      -1.099294625041e+03      -1.100694600625e+03      -1.313171038287e+00      -1.100134047610e+03       3.282927595717e-01       3.282927595717e-01 
       1.277183803251e-02      -1.311188816968e+00      -1.116787161156e+03      -1.118234491566e+03      -1.308229271316e+00      -1.117660950988e+03       3.270573178291e-01       3.270573178291e-01 
       1.289640593717e-02      -1.306249797957e+00      -1.134345281765e+03      -1.135841103171e+03      -1.303301401218e+00      -1.135254371152e+03       3.258253503046e-01       3.258253503046e-01 
       1.302100970753e-02      -1.301321628150e+00      -1.151965964752e+03      -1.153511340241e+03      -1.298384354687e+00      -1.152911225653e+03       3.245960886717e-01       3.245960886717e-01 
       1.314564937606e-02      -1.296411164044e+00      -1.169650355086e+03      -1.171246522852e+03      -1.293484975152e+00      -1.170632805872e+03       3.233712437880e-01       3.233712437880e-01 
       1.327032499934e-02      -1.291515214589e+00      -1.187395849699e+03      -1.189043959821e+03      -1.288600077512e+00      -1.188416435682e+03       3.221500193780e-01       3.221500193780e-01 
       1.339503665758e-02      -1.286633491413e+00      -1.205200623507e+03      -1.206901850281e+03      -1.283729374061e+00      -1.206260310849e+03       3.209323435152e-01       3.209323435152e-01 
