# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_nudm           12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_tot            16:(.)p_tot              17:(.)p_tot_prime        18:gr.fac. D             19:gr.fac. f          
       1.017904926539e+08       7.294855774246e-14       4.553330978524e-03       2.235535170652e+10       1.429058826316e+04       1.403921697417e-04       1.454646033912e+12       2.628862513208e-03       2.953982745259e+20       2.608673452473e+15       1.353036657985e+16       3.815882356171e-08       2.043473363565e+20       4.997617499224e+20       4.997617499224e+20       1.665818702941e+20      -1.463396497915e+23       1.611757622893e-04       7.251635284671e-02 
       1.010829122214e+08       7.397340651427e-14       4.585204038449e-03       2.204563508837e+10       1.429058823128e+04       1.413749146701e-04       1.444534290066e+12       2.647264371549e-03       2.872698656588e+20       2.554649402244e+15       1.325016086724e+16       3.815882356171e-08       1.987243559803e+20       4.860100264494e+20       4.860100264494e+20       1.619980738797e+20      -1.413236048687e+23       1.612572926052e-04       7.248001999895e-02 
       1.003802504215e+08       7.501265326982e-14       4.617300204700e-03       2.174020937856e+10       1.429058819919e+04       1.423645388094e-04       1.434492836395e+12       2.665795040381e-03       2.793651244143e+20       2.501744157417e+15       1.297575804544e+16       3.815882356171e-08       1.932561019071e+20       4.726367038236e+20       4.726367038236e+20       1.575404087738e+20      -1.364794936784e+23       1.613388232946e-04       7.244372619094e-02 
       9.968247306303e+07       7.606650028393e-14       4.649621041608e-03       2.143901512944e+10       1.429058816687e+04       1.433610903139e-04       1.424521184289e+12       2.684455421340e-03       2.716778961803e+20       2.449934548209e+15       1.270703794010e+16       3.815882356171e-08       1.879383165676e+20       4.596313697204e+20       4.596313697204e+20       1.532054042493e+20      -1.318014228875e+23       1.614203543604e-04       7.240747138114e-02 
       9.898954619269e+07       7.713515267311e-14       4.682168120780e-03       2.114199371694e+10       1.429058813432e+04       1.443646176753e-04       1.414618848534e+12       2.703246422377e-03       2.642021956994e+20       2.399197884669e+15       1.244388286560e+16       3.815882356171e-08       1.827668595471e+20       4.469838983273e+20       4.469838983273e+20       1.489896850822e+20      -1.272837011676e+23       1.615018858053e-04       7.237125552819e-02 
       9.830143609305e+07       7.821881843551e-14       4.714943026556e-03       2.084908732921e+10       1.429058810154e+04       1.453751697243e-04       1.404785347287e+12       2.722168957796e-03       2.569322024097e+20       2.349511946741e+15       1.218617757351e+16       3.815882356171e-08       1.777377043617e+20       4.346844424608e+20       4.346844424608e+20       1.448899689238e+20      -1.229208322706e+23       1.615834176323e-04       7.233507859098e-02 
       9.761810928110e+07       7.931770849137e-14       4.747947350552e-03       2.056023895531e+10       1.429058806854e+04       1.463927956338e-04       1.395020202057e+12       2.741223948299e-03       2.498622559119e+20       2.300854974534e+15       1.193380920215e+16       3.815882356171e-08       1.728469353234e+20       4.227234258995e+20       4.227234258995e+20       1.409030637451e+20      -1.187075083422e+23       1.616649498442e-04       7.229894052859e-02 
       9.693953250656e+07       8.043203672411e-14       4.781182702573e-03       2.027539237419e+10       1.429058803531e+04       1.474175449208e-04       1.385322937677e+12       2.760412321036e-03       2.429868515630e+20       2.253205658790e+15       1.168666722710e+16       3.815882356171e-08       1.680907444915e+20       4.110915359273e+20       4.110915359273e+20       1.370258653515e+20      -1.146386034641e+23       1.617464824439e-04       7.226284130032e-02 
       9.626567275032e+07       8.156202002194e-14       4.814650697881e-03       1.999449214368e+10       1.429058800184e+04       1.484494674488e-04       1.375693082285e+12       2.779735009644e-03       2.363006361899e+20       2.206543131555e+15       1.144464341288e+16       3.815882356171e-08       1.634654287072e+20       3.997797160836e+20       3.997797160836e+20       1.332553549657e+20      -1.107091674183e+23       1.618280154343e-04       7.222678086570e-02 
       9.559649722277e+07       8.270787832008e-14       4.848352964473e-03       1.971748358973e+10       1.429058796813e+04       1.494886134305e-04       1.366130167298e+12       2.799192954295e-03       2.297984039215e+20       2.160846957034e+15       1.120763176545e+16       3.815882356171e-08       1.589673867111e+20       3.887791591113e+20       3.887791591113e+20       1.295885968775e+20      -1.069144196640e+23       1.619095488183e-04       7.219075918447e-02 
